release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	gene_counts_available	gene_counts_bytes	transcript_counts_available	transcript_counts_bytes	read_assignments_available	read_assignments_bytes	transcript_models_available	transcript_models_bytes	extended_annotation_available	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_bytes	diu_available	diu_bytes	apa_available	apa_bytes	junction_available	junction_bytes	ase_available	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	SRR21714355	GSE214231	human	PacBio	0	True	584	True	810960	True	4746245	True	2529851	True	6632190	True	1338444247	True	44985	True	13756	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR23271781	GSE224045	human	ONT	8756	True	54954	True	843546	True	4783426	True	915992764	True	300965430	True	1385074814	True	2520131	True	679348	True	2494201	True	21046068	True	143809	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR26865982	GSE248118	human	ONT	2331	True	63178	True	845500	True	4785848	True	1169075858	True	290820954	True	1360100632	True	1660243	True	808013	True	6167730	True	26215680	True	262857	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR27237241	GSE250381	mouse	PacBio	17	True	10409	True	818405	True	3020759	True	46586402	True	80564090	True	771442081	True	550079	False	0	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR27237242	GSE250381	mouse	PacBio	88	True	18948	True	822841	True	3024598	True	69130771	True	151330239	True	784326901	True	1074267	False	0	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR27237243	GSE250381	mouse	PacBio	87	True	17218	True	823371	True	3024763	True	78128837	True	140692501	True	784147829	True	1091475	False	0	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR27237244	GSE250381	mouse	PacBio	51	True	16764	True	822064	True	3023437	True	61573548	True	136416349	True	780722232	True	979507	False	0	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR27405402	GSE252344	human	PacBio	45	True	15624	True	816467	True	4749141	True	26238363	True	54914644	True	1340406445	True	205087	True	176797	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR27406895	GSE252416	human	PacBio	0	True	7929	True	812539	True	4746853	True	8515030	True	36286472	True	1338664467	True	106399	True	107601	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR27935476	GSE255520	mouse	ONT	2396	True	21414	True	823294	True	3022467	True	142180844	True	142693277	True	768853498	True	687007	False	0	False	0	False	0	True	313831	isoquant_core_complete
