gene	n_donors	n_studies	n_donors_imbalanced	pooled_depth	pooled_ratio	study_baseline	pooled_deviation	pval	qval	sig_imbalanced	recurrent
GSTT2	12.0	8.0	11.0	1123.0	0.45235975066785394	0.48009356902520034	-0.027733818357346396	0.06284853291326865	0.08765485523657823	False	True
MRTFB	62.0	14.0	11.0	47151.0	0.48715827872155415	0.49142694027918676	-0.004268661557632614	0.06372615725152128	0.08875435596079932	False	True
B3GALT2	14.0	8.0	11.0	1118.0	0.5178890876565295	0.4902188121561967	0.027670275500332797	0.06420568803897247	0.08936631144593413	False	True
FNDC5	15.0	5.0	11.0	1180.0	0.4669491525423729	0.4938334828578483	-0.02688433031547538	0.06472473238927934	0.09001843217399771	False	True
FMO2	12.0	4.0	11.0	2996.0	0.4742990654205608	0.4911180682815004	-0.016819002860939625	0.06554959069277805	0.09105732292902245	False	True
CARD6	24.0	6.0	11.0	1571.0	0.464035646085296	0.4871802372890091	-0.023144591203713094	0.0664591644868612	0.09220602874554315	False	True
TTLL11	51.0	15.0	11.0	20977.0	0.48200409972827385	0.4882779153780593	-0.006273815649785464	0.06909040474628961	0.09556795051877799	False	True
TXNDC11-AS1	19.0	7.0	11.0	1237.0	0.4510913500404204	0.47672182633272503	-0.025630476292304638	0.07109712704421126	0.09811880817229775	False	True
ENSG00000275418	15.0	3.0	11.0	1196.0	0.43729096989966554	0.46306458838236064	-0.025773618482695104	0.07384798849492906	0.10150334262289301	False	True
ENSG00000268798	14.0	8.0	11.0	724.0	0.45027624309392267	0.48316119375618205	-0.03288495066225938	0.0766120200904084	0.1049758001947259	False	True
CC2D1B	27.0	10.0	11.0	2772.0	0.5054112554112554	0.48896245615324685	0.016448799258008573	0.08318925413950486	0.11324865171116191	False	True
YPEL1	45.0	14.0	11.0	12788.0	0.49436972161401316	0.4867153629761806	0.007654358637832537	0.08331221438763414	0.11340341407720704	False	True
